Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,0.422,0.006,3.14776,23.2253,49.6697,0.005
1,0.413,0.004,1.54372,56.2336,86.8093,0.005
2,0.412,0.005,1.13391,67.3482,92.0625,0.005
3,0.408,0.005,0.89643,73.6081,95.1138,0.005
4,0.408,0.007,0.7412,78.0854,96.3406,0.005
5,0.409,0.007,0.64902,80.5914,97.0746,0.005
6,0.409,0.007,0.56931,83.6322,97.5569,0.005
7,0.407,0.007,0.51216,84.4081,98.165,0.005
8,0.405,0.006,0.44933,86.8722,98.6264,0.005
9,0.406,0.005,0.42199,87.3545,98.6579,0.005
10,0.406,0.006,0.38542,88.424,98.8466,0.005
11,0.407,0.005,0.37468,88.4974,99.0144,0.005
12,0.41,0.008,0.31411,90.626,99.245,0.005
13,0.408,0.006,0.32725,89.9444,99.1087,0.005
14,0.409,0.007,0.29833,91.0769,99.2975,0.005
15,0.408,0.006,0.26217,91.8947,99.4652,0.005
16,0.407,0.005,0.25521,92.6497,99.3604,0.005
17,0.407,0.006,0.24261,92.5973,99.4652,0.005
18,0.405,0.006,0.23727,92.9747,99.4757,0.005
19,0.406,0.005,0.221,93.52,99.633,0.005
20,0.406,0.005,0.21329,94.0023,99.6435,0.005
21,0.406,0.005,0.20394,94.0128,99.6225,0.005
22,0.407,0.007,0.20027,93.9499,99.7169,0.005
23,0.407,0.005,0.18802,94.558,99.6854,0.005
24,0.409,0.007,0.19634,94.1281,99.7274,0.005
25,0.411,0.008,0.17343,94.7782,99.7693,0.005
26,0.411,0.008,0.16665,95.2501,99.7798,0.005
27,0.409,0.007,0.09272,97.5045,99.8951,0.005
28,0.41,0.008,0.06805,98.4586,99.9895,0.001
29,0.411,0.007,0.06332,98.4586,99.9266,0.001
30,0.41,0.006,0.05978,98.7208,99.9581,0.001
31,0.409,0.008,0.06107,98.5215,99.9371,0.001
32,0.409,0.005,0.05825,98.7103,99.979,0.001
33,0.408,0.005,0.05656,98.6788,99.9371,0.001
34,0.409,0.006,0.05108,98.8151,99.9685,0.001
35,0.41,0.007,0.05217,98.8361,99.9581,0.001
36,0.411,0.007,0.05131,98.7522,99.979,0.001
37,0.408,0.005,0.0532,98.6474,99.9685,0.001
38,0.41,0.006,0.05227,98.8885,99.9476,0.001
39,0.409,0.006,0.04698,98.8885,99.9476,0.001
40,0.406,0.006,0.04887,98.9515,99.9685,0.001
41,0.407,0.006,0.04408,99.0353,99.9685,0.001
42,0.411,0.008,0.04442,99.0982,99.9685,0.001
43,0.411,0.006,0.04603,99.0668,100.0,0.001
44,0.411,0.008,0.04199,99.1716,99.979,0.001
44,0.423,0.006,0.04293,99.0144,99.9685,0.0002
45,0.409,0.005,0.04263,98.9934,99.979,0.0002
46,0.411,0.006,0.046,98.8571,100.0,0.0002
47,0.408,0.005,0.04511,98.941,99.979,0.0002
48,0.41,0.005,0.04199,99.1507,99.9895,0.0002
49,0.413,0.008,0.04512,98.8885,99.9895,0.0002
