Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,0.481,0.003,1.81451,58.4251,78.3789,0.005
0,0.391,0.002,1.72666,59.7043,79.4275,0.005
1,0.379,0.002,0.33388,91.8213,99.0668,0.005
2,0.377,0.002,0.13601,96.9907,99.8532,0.005
3,0.38,0.002,0.0701,98.553,99.9476,0.005
4,0.398,0.002,0.03694,99.4233,99.9895,0.005
5,0.38,0.002,0.0232,99.7064,100.0,0.005
6,0.379,0.002,0.01527,99.8951,100.0,0.005
7,0.38,0.002,0.014,99.8217,100.0,0.005
8,0.38,0.002,0.01298,99.8637,100.0,0.005
9,0.38,0.003,0.01315,99.8847,100.0,0.005
10,0.379,0.002,0.01023,99.9581,100.0,0.005
11,0.379,0.002,0.01194,99.8847,100.0,0.005
12,0.379,0.002,0.00691,99.979,100.0,0.001
13,0.379,0.002,0.00566,99.9895,100.0,0.0002
14,0.38,0.002,0.0054,100.0,100.0,0.0002
15,0.38,0.002,0.00626,99.9476,100.0,0.0002
16,0.38,0.002,0.00564,99.979,100.0,0.0002
17,0.38,0.002,0.00522,100.0,100.0,0.0002
18,0.38,0.002,0.00524,99.9895,100.0,0.0002
19,0.38,0.002,0.00535,100.0,100.0,0.0002
20,0.38,0.002,0.00489,100.0,100.0,0.0002
21,0.38,0.002,0.00479,99.9895,100.0,0.0002
22,0.38,0.003,0.00484,99.9895,100.0,0.0002
23,0.38,0.002,0.00494,100.0,100.0,0.0002
24,0.38,0.002,0.00456,100.0,100.0,0.0002
25,0.38,0.002,0.00482,100.0,100.0,0.0002
26,0.38,0.002,0.00499,99.9895,100.0,0.0002
27,0.38,0.002,0.00427,100.0,100.0,0.0002
28,0.38,0.002,0.00467,99.9895,100.0,4e-05
29,0.38,0.002,0.00449,100.0,100.0,8.000000000000001e-06
30,0.38,0.002,0.00461,100.0,100.0,1.6000000000000004e-06
31,0.38,0.002,0.00449,100.0,100.0,3.200000000000001e-07
32,0.38,0.002,0.00469,100.0,100.0,6.400000000000003e-08
0,0.391,0.002,1.67325,60.8472,80.6543,0.005
1,0.38,0.003,0.31369,92.0835,99.3289,0.005
0,0.398,0.002,1.67991,60.9626,80.518,0.005
1,0.387,0.003,0.31475,92.2407,99.4233,0.005
2,0.388,0.003,0.13283,97.0746,99.8637,0.005
3,0.389,0.003,0.06651,98.6159,99.9895,0.005
4,0.389,0.003,0.04351,99.2136,100.0,0.005
5,0.389,0.003,0.02523,99.6959,100.0,0.005
6,0.389,0.003,0.01709,99.8008,100.0,0.005
7,0.389,0.003,0.01116,99.9266,100.0,0.005
8,0.389,0.003,0.01235,99.8847,100.0,0.005
9,0.389,0.003,0.01151,99.8742,100.0,0.005
10,0.389,0.003,0.0079,99.979,100.0,0.005
11,0.389,0.003,0.01066,99.9056,100.0,0.005
12,0.39,0.003,0.0068,99.9581,100.0,0.005
13,0.389,0.003,0.00768,99.979,100.0,0.005
14,0.389,0.003,0.00583,100.0,100.0,0.005
15,0.39,0.003,0.01139,99.8742,100.0,0.005
16,0.389,0.003,0.00887,99.9581,100.0,0.005
17,0.39,0.003,0.00573,99.9685,100.0,0.001
18,0.389,0.003,0.00478,99.9895,100.0,0.001
19,0.39,0.003,0.00499,99.979,100.0,0.001
20,0.389,0.003,0.00458,100.0,100.0,0.001
21,0.389,0.003,0.00447,99.9895,100.0,0.001
22,0.389,0.003,0.0044,99.9895,100.0,0.001
23,0.389,0.003,0.00422,99.9895,100.0,0.001
24,0.389,0.003,0.00406,99.9895,100.0,0.001
25,0.39,0.004,0.00409,100.0,100.0,0.001
26,0.389,0.003,0.00386,100.0,100.0,0.001
27,0.39,0.003,0.00412,99.9895,100.0,0.001
28,0.39,0.003,0.00414,100.0,100.0,0.001
29,0.39,0.003,0.00369,100.0,100.0,0.001
30,0.389,0.003,0.00392,100.0,100.0,0.001
31,0.39,0.003,0.00359,99.9895,100.0,0.001
32,0.389,0.003,0.00382,100.0,100.0,0.001
33,0.389,0.003,0.00367,99.9895,100.0,0.0002
34,0.389,0.003,0.00381,100.0,100.0,4e-05
35,0.39,0.003,0.00403,99.9685,100.0,8.000000000000001e-06
36,0.389,0.003,0.00354,100.0,100.0,1.6000000000000004e-06
37,0.389,0.003,0.00348,100.0,100.0,3.200000000000001e-07
