Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,1.284,0.883,2.31771,44.2487,68.6904,0.005
1,1.211,0.809,0.70079,80.9269,96.7495,0.005
2,1.155,0.773,0.41402,88.2038,98.8885,0.005
3,1.264,0.878,0.26152,92.8384,99.3918,0.005
4,1.263,0.9,0.20347,94.5371,99.5806,0.005
5,1.275,0.887,0.14126,96.2777,99.8322,0.005
6,1.275,0.909,0.10863,97.1794,99.9371,0.005
7,1.268,0.887,0.0851,97.8295,99.979,0.005
8,1.265,0.886,0.08028,97.9239,99.9581,0.005
9,1.252,0.889,0.06762,98.4377,99.9581,0.005
10,1.164,0.786,0.05667,98.7627,99.9895,0.005
11,1.183,0.805,0.05195,98.8047,99.9581,0.005
12,1.163,0.784,0.05701,98.6159,99.979,0.005
13,1.135,0.75,0.0361,99.2031,99.9895,0.005
14,1.166,0.78,0.03826,99.266,99.9895,0.005
15,1.419,1.015,0.02767,99.4967,99.9895,0.005
16,1.391,1.006,0.02884,99.4338,100.0,0.005
17,1.246,0.855,0.0192,99.7379,100.0,0.005
18,1.254,0.865,0.01912,99.7588,100.0,0.005
19,1.245,0.846,0.02156,99.6225,100.0,0.005
20,1.258,0.861,0.01747,99.7483,100.0,0.005
21,1.267,0.885,0.02808,99.4233,100.0,0.005
22,1.261,0.864,0.02758,99.4967,99.9895,0.005
23,1.269,0.878,0.0191,99.7903,100.0,0.005
24,1.267,0.896,0.01122,99.8847,100.0,0.001
25,1.266,0.871,0.00792,99.9685,100.0,0.001
26,1.26,0.879,0.0068,99.9685,100.0,0.001
27,1.264,0.886,0.00647,99.9476,100.0,0.001
28,1.264,0.885,0.00722,99.9685,100.0,0.001
29,1.304,0.916,0.00608,99.9581,100.0,0.001
30,1.408,1.017,0.00614,99.9685,100.0,0.001
31,1.312,0.925,0.00595,99.9685,100.0,0.001
32,1.312,0.928,0.00489,99.979,100.0,0.001
33,1.265,0.877,0.0051,99.979,100.0,0.001
34,1.273,0.873,0.0052,99.979,100.0,0.001
35,1.261,0.893,0.00567,99.9581,100.0,0.001
36,1.256,0.888,0.00465,99.9895,100.0,0.001
37,1.243,0.886,0.00453,99.979,100.0,0.001
38,1.246,0.863,0.00485,99.979,100.0,0.001
39,1.242,0.866,0.00494,99.9685,100.0,0.001
40,1.242,0.865,0.00445,100.0,100.0,0.001
41,1.26,0.863,0.00419,100.0,100.0,0.001
42,1.262,0.874,0.0047,99.9895,100.0,0.001
43,1.25,0.859,0.00426,99.9895,100.0,0.001
44,1.22,0.841,0.00395,100.0,100.0,0.0002
